mlb_player_id,full_name,milb_age,milb_level,milb_season,milb_pa,milb_ab,milb_h,milb_2b,milb_3b,milb_hr,milb_bb,milb_so,milb_sb,mlb_age,mlb_season,mlb_pa,mlb_ab,mlb_h,mlb_2b,mlb_3b,mlb_hr,mlb_bb,mlb_so,mlb_sb,milb_avg,milb_obp,milb_slg,milb_ops,milb_iso,milb_bb_rate,milb_k_rate,mlb_avg,mlb_obp,mlb_slg,mlb_ops,mlb_iso,mlb_bb_rate,mlb_k_rate,age_gap
444482,David Peralta,37,AAA,2024,98,80,17,3,0,2,14,18,1.0,37,2024,260,236,63,11,0,8,22,54,2,0.2125,0.3163265306122449,0.325,0.6413265306122449,0.11250000000000002,0.14285714285714285,0.1836734693877551,0.2669491525423729,0.3269230769230769,0.4152542372881356,0.7421773142112125,0.1483050847457627,0.08461538461538462,0.2076923076923077,0
444876,Alcides Escobar,35,AAA,2021,133,125,34,7,0,5,6,29,0.0,35,2021,349,319,92,21,2,4,17,56,3,0.272,0.3007518796992481,0.448,0.7487518796992481,0.176,0.045112781954887216,0.21804511278195488,0.2884012539184953,0.3123209169054441,0.4043887147335423,0.7167096316389865,0.11598746081504702,0.04871060171919771,0.16045845272206305,0
444876,Alcides Escobar,35,AAA,2021,133,125,34,7,0,5,6,29,0.0,36,2022,131,124,27,4,2,0,5,32,1,0.272,0.3007518796992481,0.448,0.7487518796992481,0.176,0.045112781954887216,0.21804511278195488,0.21774193548387097,0.24427480916030533,0.28225806451612906,0.5265328736764344,0.06451612903225809,0.03816793893129771,0.24427480916030533,1
456781,Donovan Solano,37,AAA,2024,51,44,14,3,0,1,5,8,0.0,38,2025,179,166,41,4,1,3,8,40,0,0.3181818181818182,0.37254901960784315,0.45454545454545453,0.8270944741532977,0.13636363636363635,0.09803921568627451,0.1568627450980392,0.2469879518072289,0.2737430167597765,0.3373493975903614,0.611092414350138,0.09036144578313252,0.0446927374301676,0.22346368715083798,1
457708,Justin Upton,35,AAA,2022,53,45,9,2,0,2,6,18,0.0,35,2022,57,48,6,1,0,1,6,23,0,0.2,0.2830188679245283,0.37777777777777777,0.660796645702306,0.17777777777777776,0.11320754716981132,0.33962264150943394,0.125,0.21052631578947367,0.20833333333333334,0.41885964912280704,0.08333333333333334,0.10526315789473684,0.40350877192982454,0
461865,Andrew Romine,36,AAA,2021,243,221,62,7,2,1,20,42,0.0,36,2021,64,60,11,2,0,1,4,24,0,0.28054298642533937,0.3374485596707819,0.3438914027149321,0.681339962385714,0.06334841628959276,0.0823045267489712,0.1728395061728395,0.18333333333333332,0.234375,0.26666666666666666,0.5010416666666666,0.08333333333333334,0.0625,0.375,0
501659,Abraham Almonte,32,AAA,2021,83,62,25,4,0,3,21,14,3.0,32,2021,175,148,32,12,0,5,26,38,1,0.4032258064516129,0.5542168674698795,0.6129032258064516,1.1671200932763313,0.20967741935483875,0.25301204819277107,0.1686746987951807,0.21621621621621623,0.3314285714285714,0.39864864864864863,0.7300772200772201,0.1824324324324324,0.14857142857142858,0.21714285714285714,0
506702,Sandy León,33,AAA,2022,100,84,19,3,0,2,14,14,0.0,33,2022,86,71,12,3,0,0,13,27,0,0.2261904761904762,0.33,0.3333333333333333,0.6633333333333333,0.10714285714285712,0.14,0.14,0.16901408450704225,0.29069767441860467,0.2112676056338028,0.5019652800524075,0.04225352112676056,0.1511627906976744,0.313953488372093,0
519222,Austin Romine,34,AAA,2022,61,55,16,2,0,1,5,12,0.0,34,2022,136,129,20,3,0,3,4,46,0,0.2909090909090909,0.3442622950819672,0.38181818181818183,0.726080476900149,0.09090909090909094,0.08196721311475409,0.19672131147540983,0.15503875968992248,0.17647058823529413,0.24806201550387597,0.4245326037391701,0.09302325581395349,0.029411764705882353,0.3382352941176471,0
542194,Christian Bethancourt,30,AAA,2021,365,333,95,20,1,14,28,73,0.0,31,2022,333,318,80,17,0,11,12,80,5,0.2852852852852853,0.336986301369863,0.4774774774774775,0.8144637788473406,0.1921921921921922,0.07671232876712329,0.2,0.25157232704402516,0.27627627627627627,0.4088050314465409,0.6850813077228172,0.15723270440251574,0.036036036036036036,0.24024024024024024,1
542194,Christian Bethancourt,30,AAA,2021,365,333,95,20,1,14,28,73,0.0,32,2023,332,315,71,16,0,11,13,91,1,0.2852852852852853,0.336986301369863,0.4774774774774775,0.8144637788473406,0.1921921921921922,0.07671232876712329,0.2,0.2253968253968254,0.25301204819277107,0.38095238095238093,0.633964429145152,0.15555555555555553,0.0391566265060241,0.2740963855421687,2
542194,Christian Bethancourt,30,AAA,2021,365,333,95,20,1,14,28,73,0.0,33,2024,147,139,29,7,0,5,5,36,3,0.2852852852852853,0.336986301369863,0.4774774774774775,0.8144637788473406,0.1921921921921922,0.07671232876712329,0.2,0.20863309352517986,0.23129251700680273,0.3669064748201439,0.5981989918269466,0.15827338129496402,0.034013605442176874,0.24489795918367346,3
542208,Carlos Pérez,31,AAA,2021,418,376,102,20,1,31,34,63,0.0,33,2023,189,168,38,4,0,6,13,40,0,0.2712765957446808,0.3253588516746411,0.5771276595744681,0.9024865112491092,0.3058510638297873,0.08133971291866028,0.1507177033492823,0.2261904761904762,0.2698412698412698,0.35714285714285715,0.626984126984127,0.13095238095238096,0.06878306878306878,0.21164021164021163,2
