player_name,organization,position,age,fv,fb_grade,sl_grade,cb_grade,ch_grade,cmd_grade,import_date,fg_name,mlb_name,mlb_player_id,similarity,mlb_ops,mlb_avg,total_hr,total_sb,mlb_games,mlb_seasons
Roynier Hernandez,COL,3B,20.8333333,40,,,,,,2025-10-09 12:29:09.376297,Roynier Hernandez,Yadiel Hernandez,628450,0.8384615384615384,0.75131279620853080569,0.28210426540284360190,19,5,218,3
Sabier Marte,NYY,SP,21.6555555,40,,,,,,2025-10-09 12:29:09.376297,Sabier Marte,Starling Marte,516782,0.8285714285714285,0.76998958333333333333,0.28001041666666666667,55,122,577,6
Samuel Zavala,CHW,CF,21.225,40,,,,,,2025-10-09 12:29:09.376297,Samuel Zavala,Seby Zavala,664874,0.82,0.65204945054945054945,0.22226923076923076923,15,1,189,4
Santiago Suarez,TBR,SP,20.7361111,45,,,,,,2025-10-09 12:29:09.376297,Santiago Suarez,Ranger Suarez,624133,0.8285714285714285,0.59680000000000000000,0.21990000000000000000,0,0,35,1
Seth Keener,CHW,SIRP,24.0055555,40,,,,,,2025-10-09 12:29:09.376297,Seth Keener,Seth Beer,666179,0.8,0.95318604651162790698,0.31262790697674418605,2,0,43,2
Stiven Martinez,BAL,RF,18.1611111,40,,,,,,2025-10-09 12:29:09.376297,Stiven Martinez,Jose Martinez,500874,0.82,0.72611764705882352941,0.23050000000000000000,2,0,34,1
Travis Adams,MIN,SP,25.7138888,40,,,,,,2025-10-09 12:29:09.376297,Travis Adams,Riley Adams,656180,0.8090909090909091,0.63481322957198443580,0.20468871595330739300,21,2,263,5
Wikelman González,CHW,MIRP,23.5305555,40,,,,,,2025-10-09 12:29:09.376297,Wikelman González,Marwin Gonzalez,503556,0.8285714285714285,0.62823348017621145374,0.22224324324324324324,16,6,229,3
Wilfri De La Cruz,BAL,3B,18.0583333,40,,,,,,2025-10-09 12:29:09.376297,Wilfri De La Cruz,Oneil Cruz,665833,0.8090909090909091,0.75231398416886543536,0.23729894179894179894,60,73,379,5
Yordy Herrera,STL,SIRP,20.8444444,40,,,,,,2025-10-09 12:29:09.376297,Yordy Herrera,Odubel Herrera,546318,0.8090909090909091,0.73484530386740331492,0.25267955801104972376,18,12,186,2
