mlb_player_id,debut_season,mlb_games
681911,2021,43
664954,2023,43
607468,2021,43
666179,2021,43
676679,2024,43
593833,2021,43
691720,2025,43
501981,2021,42
606993,2021,42
687799,2023,42
666126,2025,42
624647,2021,42
595928,2021,42
691783,2023,42
592530,2021,41
672569,2024,41
554340,2021,41
674441,2024,41
592656,2021,41
682617,2023,41
682653,2025,40
600921,2021,40
656322,2021,40
694359,2024,40
641555,2025,40
621249,2021,39
660650,2022,39
677956,2024,39
591971,2021,39
657709,2022,39
542454,2021,38
641525,2022,38
677941,2023,38
690924,2025,38
642456,2021,38
656495,2022,37
670092,2024,37
502273,2021,37
682868,2024,36
683227,2025,36
641386,2021,36
519008,2021,36
622100,2021,36
592444,2021,36
605397,2021,36
621532,2021,36
663967,2023,36
650619,2022,36
425794,2021,35
670869,2022,35
656464,2021,35
624133,2021,35
664068,2021,35
660813,2021,35
621111,2021,34
643256,2021,34
622168,2021,34
519326,2021,34
663432,2021,34
669717,2025,34
605346,2021,34
641682,2021,34
643418,2021,34
656024,2022,34
642736,2021,34
678011,2025,34
656546,2021,33
595345,2021,33
663584,2025,33
542960,2021,33
676840,2021,33
543101,2021,33
606988,2021,33
429664,2022,33
660853,2021,33
657097,2021,33
657434,2021,32
680862,2025,32
621219,2021,32
605388,2021,32
642221,2021,32
592622,2021,32
680716,2023,32
502179,2021,32
656695,2022,32
664918,2021,32
607560,2021,32
598287,2021,32
592351,2021,32
622065,2021,32
641816,2021,32
472610,2021,31
605200,2021,31
678545,2023,31
622491,2021,31
657088,2023,31
608331,2021,31
666808,2021,31
666168,2021,31
669699,2023,31
573186,2021,30
677960,2021,30
672642,2024,30
543294,2021,30
657108,2021,30
445926,2021,30
592233,2021,30
642068,2021,30
650339,2022,30
683232,2021,30
676969,2021,30
607455,2021,29
656794,2021,29
656730,2021,29
624522,2021,29
608566,2021,29
642137,2022,29
622098,2021,29
572863,2021,28
605540,2021,28
640470,2021,28
489119,2021,28
672335,2021,28
596027,2021,28
642547,2021,28
607200,2021,28
572888,2021,28
453286,2021,28
676628,2022,28
668723,2021,28
592836,2021,28
642082,2021,28
622608,2021,27
640444,2021,27
673995,2024,27
667297,2021,27
683770,2025,27
641771,2021,27
682927,2025,27
663574,2021,27
608422,2021,26
605483,2021,26
519076,2021,26
676044,2025,26
547179,2021,26
643348,2022,26
605288,2021,26
656821,2021,26
664776,2021,26
641513,2022,26
641851,2021,26
461865,2021,26
592261,2021,25
621573,2021,25
605195,2021,25
605507,2021,25
686759,2023,25
607536,2021,25
519141,2021,25
453178,2021,25
672701,2021,24
642092,2021,24
592346,2021,24
670056,2021,24
680837,2025,24
445213,2021,24
607231,2021,24
592826,2021,24
641778,2021,24
663978,2021,24
676831,2021,24
570666,2021,24
593590,2021,24
664141,2021,24
679881,2023,24
607188,2021,24
663765,2021,24
543243,2021,24
622072,2021,24
676051,2021,24
656605,2021,23
621500,2021,23
461325,2021,23
622766,2021,23
543351,2021,23
592866,2021,23
519306,2021,23
605521,2021,23
663796,2023,23
641512,2022,22
519043,2021,22
543829,2022,22
664092,2021,22
676646,2021,22
677865,2021,22
622088,2021,22
676950,2022,22
596295,2021,22
571431,2021,22
641561,2021,22
594965,2021,22
656266,2021,22
664076,2021,21
663559,2021,21
659275,2021,21
665854,2021,21
687957,2024,21
502522,2021,21
605452,2021,21
642197,2024,21
458677,2021,21
661269,2021,21
621074,2021,21
669952,2021,21
668721,2021,20
670084,2021,20
642203,2021,20
688760,2025,20
669023,2022,20
666931,2021,20
592858,2021,20
660546,2021,20
