rank,prospect_id,name,age,position,organization,level,predicted_fv,predicted_tier,confidence_score,milb_games,model_version
71,79,Chase Bentley,18.0,SP,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
72,80,Dusty Revis,22.0,SP,Seattle Mariners,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
73,81,Ethan Rogers,18.0,SP,Detroit Tigers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
74,82,Ethin Bingaman,19.0,SP,Arizona Diamondbacks,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
75,83,Joey McLaughlin,18.0,CF,Houston Astros,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
76,84,Dylan Wood,18.0,SP,Kansas City Royals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
77,85,Rylan Mills,19.0,C,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
78,86,Matthew Dalquist,22.0,SP,Minnesota Twins,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
79,87,Luke Kovach,22.0,SP,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
80,88,Braydon Risley,20.0,SP,San Francisco Giants,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
81,89,Fabian Bonilla,18.0,CF,Boston Red Sox,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
82,90,Gavin Lauridsen,18.0,SP,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
83,91,Landon Manzi,17.0,SP,Texas Rangers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
84,92,Zach Harris,21.0,SP,Colorado Rockies,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
85,93,Justin DeCriscio,22.0,SS,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
86,94,Cole Gilley,24.0,SP,Philadelphia Phillies,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
87,95,Jay Woolfolk,22.0,SP,Atlanta Braves,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
88,96,Kaeden Kent,22.0,SS,New York Yankees,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
89,97,Johnny Slawinski,18.0,SP,Los Angeles Angels,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
90,98,Riley Kelly,21.0,SP,Colorado Rockies,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
91,99,Justin Thomas,22.0,CF,Houston Astros,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
92,100,Harrison Bodendorf,21.0,SP,Cleveland Guardians,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
93,101,Grant Richardson,21.0,SP,Athletics,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
94,102,Joey Volini,22.0,SP,Miami Marlins,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
95,103,Nolan Sailors,22.0,CF,Kansas City Royals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
96,104,Trendan Parish,23.0,SP,Tampa Bay Rays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
97,105,Justin Stransky,23.0,C,Chicago Cubs,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
98,106,Cole Johnson,18.0,CF,Baltimore Orioles,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
99,107,Landry Jurecka,22.0,SP,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
100,108,Gavin Turley,21.0,CF,Athletics,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
101,109,Landon Hodge,18.0,C,Chicago White Sox,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
102,110,Ryan DeSanto,22.0,SP,Cleveland Guardians,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
103,111,Tyrelle Chadwick,22.0,SP,Colorado Rockies,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
104,112,Ethan Moore,18.0,SS,Cincinnati Reds,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
105,113,Jordan Rich,18.0,CF,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
106,114,Taitn Gray,18.0,C,Tampa Bay Rays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
107,115,Cale Wetwiska,20.0,SP,Detroit Tigers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
108,116,Riley Nelson,21.0,1B,Cleveland Guardians,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
109,117,Cody Miller,21.0,SS,Atlanta Braves,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
110,118,Danny Thompson Jr.,23.0,SP,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
111,119,Myles Patton,22.0,SP,Boston Red Sox,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
112,120,Kyle McCoy,21.0,SP,Cincinnati Reds,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
113,121,Caleb Leys,22.0,SP,Detroit Tigers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
114,122,Caden Hunter,21.0,SP,Baltimore Orioles,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
115,123,Hunter Hines,22.0,1B,Washington Nationals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
116,124,J.D. McReynolds,22.0,SP,Texas Rangers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
117,125,Kyle West,22.0,1B,New York Yankees,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
118,126,Joshua Flores,18.0,SP,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
119,127,Dylan Grego,21.0,SS,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
120,128,Clay Edmondson,22.0,SP,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
121,129,Aaron Savary,21.0,SP,Cleveland Guardians,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
122,130,Gustavo Melendez,17.0,SS,Pittsburgh Pirates,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
123,131,Mason McConnaughey,21.0,SP,Texas Rangers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
124,132,Gabe Davis,21.0,SP,Chicago White Sox,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
125,133,Daniel Bucciero,20.0,3B,Athletics,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
126,134,Justin Henschel,21.0,SP,Cincinnati Reds,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
