rank,mlb_player_id,full_name,current_age,age_tier,primary_position,current_team,highest_level,total_pa,ops,obp,slg,iso,bb_rate,so_rate,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_ops,age_factor,level_age_factor,combined_age_factor,prospect_value_score
1,815888,Leo De Vries,18.99247091033539,Elite Youth,SS,0,AA,896,0.804092459264873,0.35714285714285715,0.4469496021220159,0.1989389920424403,0.12946428571428573,0.21316964285714285,87.02857142857142,0.1578571428571429,0.6432739674118985,3.271776771879022,2.10135523613963,6.875165251067998,791.272468337078
2,806068,Colt Emerson,20.21902806297057,Elite Youth,SS,0,AAA,1011,0.8221683059645449,0.390702274975272,0.43146603098927294,0.15256257449344457,0.13056379821958458,0.17408506429277942,91.51097922848665,0.21388724035608309,0.7399514753680905,2.0031287468064085,2.427289527720739,4.862173429799563,642.6787703702805
3,703185,Nelson Rada,20.123203285420946,Elite Youth,CF,0,AAA,1631,0.6976342399924762,0.37093807480073576,0.32669616519174044,0.058259587020648984,0.12568976088289394,0.2035561005518087,90.30141017780502,0.19876762722256286,0.6278708159932286,2.081398955978252,2.4459753593429157,5.0910505592848745,626.8232005557508
4,808535,John Gil,19.4031485284052,Elite Youth,SS,0,AA,646,0.6727100029353612,0.3328173374613003,0.33989266547406083,0.09838998211091235,0.12074303405572756,0.16718266253869968,85.70526315789473,0.14131578947368423,0.538168002348289,2.776141864962407,2.0274332648870637,5.628442365070395,599.9091828412948
5,806956,Ethan Salas,19.353867214236825,Elite Youth,C,0,AA,759,0.6572006789398094,0.30434782608695654,0.35285285285285284,0.13063063063063063,0.10144927536231885,0.22793148880105402,84.15652173913044,0.12195652173913046,0.5257605431518475,2.8314095761534936,2.0363039014373716,5.7656103664884935,598.9091893041539
6,806964,Sebastian Walcott,19.57015742642026,Elite Youth,SS,0,AA,1083,0.7647250626426534,0.3490304709141274,0.41569459172852596,0.1569459172852598,0.11634349030470914,0.22622345337026778,86.58725761772854,0.15234072022160666,0.6117800501141227,2.5967446068157005,1.9973716632443532,5.18666409433628,583.3055426680146
7,815908,Jesús Made,18.420260095824776,Elite Youth,SS,0,AA,147,0.8678402658773433,0.3945578231292517,0.4732824427480916,0.14503816793893132,0.09523809523809523,0.20408163265306123,89.0639455782313,0.18329931972789118,0.6942722127018747,4.113266651207709,2.2043531827515404,9.067092434095484,549.4190208044863
8,805805,Walker Jenkins,20.632443531827516,Elite Youth,OF,0,AAA,724,0.8480028982881985,0.39226519337016574,0.4557377049180328,0.16721311475409834,0.13121546961325967,0.1671270718232044,91.60662983425414,0.2150828729281768,0.7632026084593787,1.6978184190927517,2.3466735112936346,3.9842255110713953,533.31161384046
9,808706,Asbel Gonzalez,19.76454483230664,Elite Youth,OF,0,AA,513,0.648034708042209,0.36062378167641324,0.28741092636579574,0.04988123515439433,0.10916179337231968,0.1695906432748538,87.21793372319688,0.160224171539961,0.5184277664337672,2.402485013273337,1.9623819301848044,4.714593177587397,505.2875292293379
10,808265,Franklin Arias,19.88501026694045,Elite Youth,SS,0,AA,606,0.7077674980612816,0.3234323432343234,0.3843351548269581,0.122040072859745,0.07920792079207921,0.11551155115511551,85.1947194719472,0.13493399339933992,0.5662139984490253,2.289463361202039,1.9406981519507187,4.4431573140436775,478.71641671122603
11,804606,Konnor Griffin,19.457905544147845,Elite Youth,SS,0,AA,332,0.947566439041364,0.42771084337349397,0.51985559566787,0.1913357400722021,0.10542168674698796,0.20783132530120482,90.86746987951807,0.2058433734939759,0.7580531512330912,2.7159976355556337,2.017577002053388,5.479734367128425,465.6988483885799
12,829035,Andrew Salas,17.596167008898014,Elite Youth,SS,0,A,453,0.5609563080511475,0.31567328918322296,0.24528301886792453,0.05929919137466308,0.15894039735099338,0.24282560706401765,80.4794701986755,0.07599337748344369,0.4,5.7193476588633665,1.2839887063655033,7.343577801758544,455.1346838782617
13,807083,Nathan Flewelling,18.90759753593429,Elite Youth,C,0,A+,461,0.7335338197594163,0.3926247288503254,0.3409090909090909,0.11079545454545453,0.2039045553145336,0.2754880694143167,86.28893709327549,0.1486117136659436,0.5134736738315914,3.384758441668941,1.5388603696098566,5.208670626586749,442.0612747261435
14,800543,Josue De Paula,20.3750855578371,Elite Youth,CF,0,AA,1266,0.7908769695319579,0.39652448657187994,0.3943524829600779,0.12852969814995135,0.1674565560821485,0.19510268562401265,89.17093206951027,0.18463665086887837,0.6327015756255663,1.881910216619022,1.852484599589322,3.486209694096543,408.6448714628782
15,815154,Slade Caldwell,19.307323750855577,Elite Youth,OF,0,A+,516,0.7755271127364151,0.4069767441860465,0.36855036855036855,0.10810810810810811,0.17635658914728683,0.26744186046511625,86.97209302325581,0.15715116279069768,0.5428689789154905,2.8846167719336857,1.4789014373716634,4.266063890279136,403.59128666591744
16,806252,Ralphy Velazquez,20.36413415468857,Elite Youth,1B,0,AA,997,0.7917065148935178,0.3440320962888666,0.4476744186046512,0.19767441860465118,0.11835506519558676,0.1995987963891675,86.31534603811434,0.14894182547642928,0.6333652119148143,1.8901721222878949,1.8544558521560572,3.5052407537590216,397.86846401272237
17,800198,Cristofer Torin,20.369609856262834,Elite Youth,SS,0,AA,1237,0.733707347242265,0.3726758286176233,0.36103151862464183,0.09169054441260743,0.13257881972514146,0.1576394502829426,87.87356507679871,0.16841956345998382,0.586965877793812,1.8860366454822803,1.85347022587269,3.495712767306213,393.26028540736945
