prospect_id,mlb_player_id,name,position,season,level,team,games,pa,ab,r,h,doubles,triples,hr,rbi,bb,ibb,so,sb,cs,hbp,sf,avg,obp,slg,ops,babip,iso,bb_rate,k_rate,power_speed_number,bb_per_k,xbh,xbh_rate,sb_success_rate,target_avg,target_obp,target_slg,target_ops,target_bb_rate,target_k_rate,target_hr_per_600,target_sb_per_600,target_rbi_per_600,target_r_per_600,target_career_games,target_career_pa,target_iso,hit_future,game_power_future,raw_power_future,speed_future,fielding_future
9544,677951,Bobby Witt Jr.,SS,2021,AAA,,62,286,255,,74,26,0,17,46,26,,63,,,,,,,,,,0,0.09090909090909091,0.2202797202797203,0.0,0.4126984126984127,43,0.16862745098039217,0.0,0.2880085653104925,0.32678132678132676,0.4809182493382604,0.7982336642468398,0.062407862407862405,0.17788697788697788,24.176904176904177,32.432432432432435,84.02948402948402,89.63144963144963,40,2722,0.19290968402776787,,,,,
9548,663728,Cal Raleigh,C,2021,AAA,,44,199,176,,59,23,1,9,36,14,,25,,,,,,,,,,0,0.07035175879396985,0.12562814070351758,0.0,0.56,33,0.1875,0.0,0.2172211350293542,0.2835689045936396,0.37486743295019154,0.6361719029374202,0.08745583038869258,0.29328621908127206,31.272084805653712,0.5300353356890459,80.03533568904594,68.90459363957596,50,2465,0.15764629792083734,,,,,
9553,662139,Daulton Varsho,CF,2021,AAA,,18,88,81,,26,7,1,9,25,7,,16,,,,,,,,,,0,0.07954545454545454,0.18181818181818182,0.0,0.4375,17,0.20987654320987653,0.0,0.23174366616989567,0.2903225806451613,0.3898201971956445,0.6892507845335545,0.08131720430107527,0.23319892473118278,23.387096774193548,15.322580645161292,69.75806451612902,73.38709677419355,50,2272,0.1580765310257488,,,,,
9557,669016,Brandon Marsh,CF,2021,AAA,,24,110,94,26.0,24,5,3,3,8,16,0.0,29,2.0,0.0,0.0,0.0,0.25516666666666666667,0.40866666666666666667,0.52141666666666666667,0.93008333333333333333,0.38250000000000000000,0.26625000000000000000,0.14545454545454545,0.2636363636363636,2.4,0.5517241379310345,11,0.11702127659574468,1.0,0.2593984962406015,0.32103939647946356,0.41282300038270187,0.744268656716418,0.08968985750209556,0.3294216261525566,12.573344509639565,12.573344509639565,65.88432523051131,67.39312657166806,50,2094,0.15342450414210035,,,,,
9569,680757,Steven Kwan,LF,2021,AAA,,26,120,105,,32,3,1,5,13,14,,8,,,,,,,,,,0,0.11666666666666667,0.06666666666666667,0.0,1.75,9,0.08571428571428572,0.0,0.28494943486020224,0.350210970464135,0.4177651600335934,0.7942878267731861,0.09757383966244726,0.0981012658227848,7.9113924050632916,16.455696202531648,47.46835443037975,83.86075949367088,40,2589,0.13281572517339113,,,,,
9571,657757,Gavin Sheets,LF,2021,AAA,,60,254,227,36.0,67,15,0,11,46,25,0.0,55,1.0,1.0,0.0,2.0,0.31358333333333333333,0.36563333333333333333,0.52438333333333333333,0.89001666666666666667,0.36984210526315789474,0.21080000000000000000,0.0984251968503937,0.21653543307086615,1.8333333333333333,0.45454545454545453,26,0.1145374449339207,0.5,0.22877358490566038,0.2840300107181136,0.43633005620164095,0.7407255616272009,0.07609860664523044,0.2057877813504823,23.151125401929264,0.6430868167202572,83.60128617363343,52.09003215434084,50,1979,0.20755647129598057,,,,,
9574,681082,Bryson Stott,2B,2021,AAA,,10,41,33,,10,0,0,1,3,8,,8,,,,,,,,,,0,0.1951219512195122,0.1951219512195122,0.0,1.0,1,0.030303030303030304,0.0,0.25559947299077734,0.3076923076923077,0.36420971458605517,0.6753712341908066,0.0763267740011926,0.16815742397137745,12.880143112701251,26.833631484794278,60.10733452593918,71.91413237924866,40,2237,0.10861024159527782,,,,,
9579,672695,Geraldo Perdomo,SS,2021,AAA,,3,14,12,,5,0,0,0,3,2,,1,,,,,,,,,,0,0.14285714285714285,0.07142857142857142,0.0,2.0,0,0.0,0.0,0.22094361334867663,0.3023255813953488,0.3173236258960532,0.6663055428345342,0.11627906976744186,0.18895348837209303,6.395348837209302,14.534883720930234,51.16279069767442,77.90697674418605,50,2140,0.09638001254737655,,,,,
9595,673548,Seiya Suzuki,RF,2022,AAA,,3,11,9,2.0,4,2,0,1,3,2,,4,0.0,0.0,0.0,0.0,,0.59433333333333333333,1.27800000000000000000,1.8723333333333333,,1.27800000000000000000,0.18181818181818182,0.36363636363636365,0.0,0.5,3,0.3333333333333333,0.0,0.27808988764044945,0.3469640644361834,0.4667353240433532,0.8200298053527981,0.10161090458488228,0.24783147459727387,20.446096654275095,11.524163568773234,71.74721189591078,75.46468401486989,40,2265,0.18864543640290377,,,,,
9603,663457,Lars Nootbaar,LF,2021,AAA,,35,136,117,21.0,36,2,1,6,19,17,3.0,25,1.0,3.0,2.0,0.0,0.29797142857142857143,0.40974285714285714286,0.48057142857142857143,0.89031428571428571429,0.35957575757575757576,0.18260000000000000000,0.125,0.18382352941176472,1.7142857142857142,0.68,9,0.07692307692307693,0.25,0.24606060606060606,0.3480492813141684,0.3833406732348112,0.7105358538587848,0.13963039014373715,0.2032854209445585,20.328542094455855,10.472279260780287,62.217659137577,85.01026694045174,50,1962,0.13728006717420513,,,,,
