target,model,r2,mae,mse
mlb_wrc_plus,Linear Regression,-33.0158412516722,6.976886708710243,289.08658412583196
mlb_wrc_plus,Ridge Regression,-0.006599550797665277,2.4914258713750423,8.554673793592825
mlb_wrc_plus,Random Forest,-0.11996002357832558,2.427278549058317,9.518077626783029
mlb_wrc_plus,Gradient Boosting,-0.34230518637591034,2.5703019806056484,11.407697322926687
mlb_woba,Linear Regression,-33.01584125167026,0.08721108385886858,0.045169778769658615
mlb_woba,Ridge Regression,-0.006599550797661946,0.031142823392187883,0.001336667780248873
mlb_woba,Random Forest,-0.11367006172673699,0.03013704805857719,0.0014788471623678778
mlb_woba,Gradient Boosting,-0.3343580072661452,0.032128774757570644,0.0017718996141180183
mlb_avg_ops,Linear Regression,-9.364513559135885,0.24604468445885197,0.2681860664345131
mlb_avg_ops,Ridge Regression,-0.021179665256667368,0.12108478168759786,0.026423445344108492
mlb_avg_ops,Random Forest,0.09666191863886064,0.12360557407272063,0.02337424572011869
mlb_avg_ops,Gradient Boosting,0.10629369604507843,0.12110559082789883,0.0231250195040876
mlb_iso,Linear Regression,-92.42225282531251,0.2122180639110423,0.2938297510612626
mlb_iso,Ridge Regression,-0.12245530092959656,0.0502868978557164,0.003530323361675309
mlb_iso,Random Forest,-0.09124578673487149,0.04754844341327159,0.00343216383855049
mlb_iso,Gradient Boosting,-0.28905396034343367,0.05186101727577049,0.004054306043983786
mlb_bb_rate,Linear Regression,-28.763843105738307,0.06501948083463914,0.02414491797472886
mlb_bb_rate,Ridge Regression,-0.21542435469160148,0.02543041644184957,0.0009859721825659893
mlb_bb_rate,Random Forest,-0.29943253231896394,0.02516431837458808,0.001054120994895539
mlb_bb_rate,Gradient Boosting,-0.43815839435195625,0.025805588202366687,0.001166657690773847
mlb_so_rate,Linear Regression,-3.1078129802540984,0.07943381459789899,0.017038246679693163
mlb_so_rate,Ridge Regression,0.4259048517563542,0.03469273264230776,0.0023812122899483095
mlb_so_rate,Random Forest,0.39525349137368326,0.03479502292595585,0.002508346957903864
mlb_so_rate,Gradient Boosting,0.321977766334156,0.036716635898367,0.0028122775128873114
mlb_hr_rate,Linear Regression,-53.7003950164123,0.038058493186518653,0.00935006698290816
mlb_hr_rate,Ridge Regression,-0.1828365074702194,0.011045865949843673,0.00020218502208909785
mlb_hr_rate,Random Forest,-0.004669641545816061,0.010446184594244231,0.00017173054127541892
mlb_hr_rate,Gradient Boosting,-0.3875522758484313,0.011528043876191859,0.0002371775691487578
