feature,importance
power_speed_number_v2,0.1375124038478613
game_power_future,0.08137860054950544
offensive_ceiling,0.07696198261156617
has_elite_tool,0.05909565770825233
plus_tool_count,0.05349149567204734
raw_power_future,0.044176675118493644
fielding_upside,0.040094946721009606
power_upside,0.03437261238447801
hit_power_ratio,0.03432228259926162
defensive_floor,0.030512756058164555
hit_future,0.0293761820965602
avg_age,0.027039357131973852
tool_variance,0.026379167248111592
batting_avg,0.02475676484555265
speed_future,0.024637345242590536
fielding_future,0.02287774202658788
arm_grade,0.020232320992750092
hit_upside,0.017681584859630093
speed_upside,0.016988502268814976
hit_change,0.01456940605768673
frame_grade,0.014547790228853325
power_speed_number,0.01423404043030987
total_hr,0.013831531702398698
k_rate,0.01311279055887633
isolated_power,0.011676432760334404
bb_rate,0.011450514055059272
age_relative_ops,0.011290926389525108
fv_change_1yr,0.00993004287504171
avg_slg,0.009673017991161423
avg_obp,0.009100566372201815
bb_k_ratio,0.009093084738394847
total_pa,0.009010540326134357
total_sb,0.00792412331853543
levers_encoded,0.007660817935322059
avg_ops,0.006663541725781754
power_change,0.005354953190478283
levels_per_year,0.005170869236714998
total_ab,0.005057525661263432
athleticism_grade,0.004594897226602267
highest_level,0.002176174493172235
is_average_hitter,0.000970373906539267
is_contact_hitter,0.0005764083090467526
played_a_plus,0.00044125052735380615
hard_hit_pct,0.0
played_aa,0.0
played_aaa,0.0
speed_change,0.0
is_power_slugger,0.0
is_balanced_star,0.0
