prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,versatility_future,pitch_sel_future,bat_ctrl_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,power_speed_number,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change
9257,2022,Aeverson Arteaga,SS,sa3014707,1,Part-Time,45,40.0,45.0,45.0,60.0,60.0,,,,,20.0,20.0,0.0,15.0,1.0,2.0,60.0,2,229.0,200.0,9.0,8.0,0.41573362445414847162,0.61413973799126637555,0.29,0.205,0.32857142857142857,0.3056768558951965,0.10043668122270742,8.470588235294118,0,0,0,2,18,0,0.0,0.0,0.0
8977,2022,Antonio Gomez,C,sa3008746,1,Part-Time,45,45.0,40.0,50.0,30.0,60.0,,,,,15.0,10.0,-10.0,15.0,,1.0,80.0,1,184.0,156.0,4.0,5.0,0.31118478260869565217,0.34878804347826086957,0.26282051282051283,0.15384615384615385,0.5306122448979592,0.266304347826087,0.14130434782608695,4.444444444444445,0,0,0,2,19,0,0.0,0.0,0.0
9283,2022,Benny Montgomery,CF,sa3017169,1,Part-Time,45,50.0,40.0,60.0,70.0,55.0,,,,,30.0,20.0,0.0,15.0,1.0,1.0,60.0,3,52.0,47.0,0.0,5.0,0.32511538461538461538,0.34786538461538461538,0.3404255319148936,0.0425531914893617,0.5555555555555556,0.17307692307692307,0.09615384615384616,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8336,2022,Cam Collier,3B,sa3020131,1,Part-Time,45,50.0,55.0,60.0,40.0,60.0,,,,,30.0,35.0,0.0,15.0,-1.0,,70.0,2,,,,,,,,,,,,0.0,0,0,0,1,16,0,0.0,0.0,0.0
8183,2022,Carson Williams,SS,30038,1,Part-Time,45,50.0,50.0,50.0,55.0,55.0,,,,,20.0,20.0,5.0,0.0,1.0,1.0,70.0,3,47.0,39.0,0.0,2.0,0.58474468085106382979,0.81823404255319148936,0.28205128205128205,0.15384615384615385,0.46153846153846156,0.2765957446808511,0.1276595744680851,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8694,2022,Cristhian Vaquero,CF,sa3018403,1,Part-Time,45,50.0,60.0,60.0,55.0,50.0,,,,,30.0,35.0,-5.0,20.0,2.0,2.0,60.0,3,,,,,,,,,,,,0.0,0,0,0,1,16,0,0.0,0.0,0.0
8875,2022,Daniel Susac,C,sa3019997,1,Part-Time,45,40.0,55.0,70.0,30.0,45.0,,,,,10.0,20.0,-5.0,15.0,,-1.0,45.0,3,,,,,,,,,,,,0.0,0,0,0,1,20,0,0.0,0.0,0.0
8828,2022,Deyvison De Los Santos,DH,sa3015168,1,Part-Time,45,40.0,60.0,70.0,30.0,40.0,,,,,20.0,35.0,-10.0,20.0,-1.0,,55.0,2,255.0,227.0,8.0,3.0,0.36532156862745098039,0.41058039215686274510,0.29515418502202645,0.19383259911894274,0.3880597014925373,0.2627450980392157,0.10196078431372549,4.363636363636363,0,0,0,2,18,0,0.0,0.0,0.0
8332,2022,Drew Gilbert,CF,31545,1,Part-Time,45,60.0,40.0,45.0,60.0,60.0,,,,,25.0,10.0,0.0,15.0,1.0,1.0,55.0,1,,,,,,,,,,,,0.0,0,0,0,1,20,0,0.0,0.0,0.0
8338,2022,Dylan Beavers,CF,31695,1,Part-Time,45,40.0,60.0,70.0,55.0,50.0,,,,,10.0,30.0,0.0,20.0,1.0,,60.0,3,,,,,,,,,,,,0.0,0,0,0,1,19,0,0.0,0.0,0.0
