prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,avg_ops,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change,plus_tool_count,offensive_ceiling,defensive_floor,hit_power_ratio,power_speed_number_v2,age_relative_ops,levels_per_year,has_elite_tool,tool_variance,is_power_slugger,is_contact_hitter,is_balanced_star,is_average_hitter
8769,2023,Blaze Jordan,1B,sa3014537,0,Bench,40,50.0,55.0,60.0,30.0,55.0,,15.0,20.0,0.0,25.0,-2.0,-1.0,40.0,2,415.0,370.0,8.0,4.0,0.3261469879518072,0.4208771084337349,0.7470240963855421,0.2864864864864865,0.1594594594594594,0.5522388059701493,0.1614457831325301,0.0891566265060241,0,0,0,2,19.0,0,-5.0,0.0,0.0,3,55.0,30.0,0.9090909090909092,27.633333333333333,0.0970240963855421,2.0,1,106.25,0,0,0,1
8828,2023,Deyvison De Los Santos,DH,sa3015168,0,Bench,40,30.0,60.0,70.0,30.0,20.0,,10.0,35.0,-10.0,0.0,,1.0,45.0,2,560.0,513.0,22.0,5.0,0.3220803571428571,0.4743607142857142,0.7964410714285713,0.3060428849902534,0.1929824561403508,0.2312925170068027,0.2625,0.0607142857142857,0,1,1,4,19.0,-5,-10.0,0.0,0.0,2,60.0,20.0,0.5,30.25925925925926,0.0464410714285714,4.0,1,225.0,0,0,0,1
9095,2023,Eric Bitonti,1B,sa3022866,0,Bench,40,40.0,55.0,70.0,30.0,40.0,,20.0,30.0,-10.0,20.0,1.0,-1.0,55.0,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,2,55.0,30.0,0.7272727272727273,25.5,0.0,1.0,1,79.6875,0,0,0,1
9193,2023,Janero Miller,DH,sa3021077,0,Bench,40,40.0,45.0,50.0,60.0,50.0,,20.0,25.0,0.0,10.0,1.0,1.0,60.0,2,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,1,45.0,50.0,0.8888888888888888,31.5,0.0,1.0,1,54.6875,0,0,0,1
8525,2023,Luis Baez,1B,sa3018482,0,Bench,40,45.0,60.0,60.0,40.0,50.0,,25.0,35.0,0.0,20.0,2.0,1.0,55.0,3,222.0,203.0,9.0,10.0,0.2879369369369369,0.4584774774774774,0.7464144144144144,0.3054187192118227,0.2463054187192118,0.25,0.2522522522522522,0.063063063063063,0,0,0,1,18.0,5,-5.0,0.0,0.0,2,60.0,40.0,0.75,33.78947368421053,0.1464144144144143,1.0,1,54.6875,0,0,0,1
8519,2023,Ralphy Velazquez,1B,sa3023013,0,Bench,40,40.0,55.0,60.0,20.0,45.0,,20.0,35.0,-10.0,15.0,-1.0,1.0,40.0,2,,,,,,,,,,,,,0,0,0,1,17.0,0,0.0,0.0,0.0,2,55.0,20.0,0.7272727272727273,22.5,0.0,1.0,1,162.5,0,0,0,1
8615,2023,Tony Blanco Jr.,1B,sa3019722,0,Bench,40,40.0,60.0,70.0,30.0,40.0,,20.0,35.0,-10.0,20.0,2.0,1.0,45.0,3,19.0,19.0,1.0,0.0,0.3045263157894736,0.7161578947368421,1.0206842105263156,0.2105263157894736,0.1578947368421052,0.0,0.5263157894736842,0.0,0,0,0,1,17.0,0,0.0,0.0,0.0,2,60.0,30.0,0.6666666666666666,27.0,0.2706842105263158,1.0,1,118.75,0,0,0,1
9015,2023,Tyler Black,1B,29949,0,Bench,40,60.0,35.0,45.0,60.0,45.0,0.25,25.0,5.0,0.0,15.0,,-1.0,40.0,1,,,,,,,,,,,,,0,0,0,1,21.0,-5,0.0,-10.0,15.0,2,60.0,45.0,1.7142857142857142,28.5,0.0,0.5,1,112.5,0,0,0,1
8286,2023,Xavier Isaac,1B,sa3020498,0,Bench,40,55.0,55.0,60.0,20.0,30.0,,30.0,30.0,0.0,10.0,-2.0,-1.0,40.0,3,21.0,19.0,0.0,0.0,0.3068571428571428,0.2732380952380952,0.580095238095238,0.2105263157894736,0.1578947368421052,0.6666666666666666,0.1428571428571428,0.0952380952380952,0,0,0,1,18.0,5,0.0,0.0,0.0,3,55.0,20.0,1.0,22.5,-0.0199047619047618,1.0,1,237.5,0,0,0,1
8520,2023,Dominic Keegan,1B,sa3020194,0,Bench,35,45.0,50.0,55.0,30.0,45.0,,15.0,15.0,0.0,25.0,,,40.0,2,46.0,40.0,2.0,1.0,0.4886086956521739,0.6919565217391304,1.1805652173913044,0.325,0.25,0.5,0.217391304347826,0.108695652173913,0,0,0,2,21.0,0,0.0,0.0,0.0,1,50.0,30.0,0.9,24.53333333333333,0.4305652173913044,1.0,0,56.25,0,0,0,1
8446,2023,George Wolkow,1B,sa3022817,0,Bench,35,35.0,55.0,70.0,40.0,50.0,,15.0,30.0,-5.0,20.0,,,,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,2,55.0,40.0,0.6363636363636364,28.5,0.0,1.0,1,62.5,0,0,0,1
8759,2023,Luke Adams,1B,sa3020135,0,Bench,35,55.0,50.0,60.0,30.0,40.0,,20.0,20.0,0.0,20.0,1.0,-1.0,50.0,3,41.0,32.0,1.0,9.0,0.4116097560975609,0.4178292682926829,0.8294390243902439,0.375,0.1875,0.875,0.1951219512195122,0.1707317073170731,0,0,0,1,18.0,0,0.0,0.0,0.0,2,55.0,30.0,1.1,24.72,0.2294390243902438,1.0,1,92.1875,0,0,0,1
8770,2023,T.J. Rumfield,1B,sa3017330,0,Bench,35,55.0,40.0,55.0,30.0,50.0,,20.0,10.0,0.0,10.0,1.0,,50.0,3,243.0,209.0,4.0,4.0,0.370798353909465,0.4553827160493827,0.8261810699588477,0.2727272727272727,0.1196172248803827,0.6170212765957447,0.1934156378600823,0.1193415637860082,0,0,1,3,22.0,0,0.0,0.0,0.0,2,55.0,30.0,1.375,22.6,0.0261810699588477,1.0,0,92.1875,0,0,0,1
8247,2023,Tre' Morgan,1B,sa3022919,0,Bench,35,45.0,40.0,50.0,50.0,70.0,,15.0,10.0,0.0,35.0,,1.0,50.0,2,,,,,,,,,,,,,0,0,0,1,19.0,0,0.0,0.0,0.0,1,45.0,50.0,1.125,27.0,0.0,1.0,1,129.6875,0,0,0,1
