prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,versatility_future,pitch_sel_future,bat_ctrl_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,power_speed_number,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change
9257,2022,Aeverson Arteaga,SS,sa3014707,1,Part-Time,45,40.0,45.0,45.0,60.0,60.0,,,,,20.0,20.0,0.0,15.0,1.0,2.0,60.0,2,229.0,200.0,9.0,8.0,0.4157336244541484,0.6141397379912663,0.29,0.205,0.3285714285714285,0.3056768558951965,0.1004366812227074,8.470588235294118,0,0,0,2,18.0,0,0.0,0.0,0.0
8977,2022,Antonio Gomez,C,sa3008746,1,Part-Time,45,45.0,40.0,50.0,30.0,60.0,,,,,15.0,10.0,-10.0,15.0,,1.0,80.0,1,184.0,156.0,4.0,5.0,0.3111847826086956,0.3487880434782608,0.2628205128205128,0.1538461538461538,0.5306122448979592,0.266304347826087,0.1413043478260869,4.444444444444445,0,0,0,2,19.0,0,0.0,0.0,0.0
9283,2022,Benny Montgomery,CF,sa3017169,1,Part-Time,45,50.0,40.0,60.0,70.0,55.0,,,,,30.0,20.0,0.0,15.0,1.0,1.0,60.0,3,52.0,47.0,0.0,5.0,0.3251153846153846,0.3478653846153846,0.3404255319148936,0.0425531914893617,0.5555555555555556,0.173076923076923,0.0961538461538461,0.0,0,0,0,1,18.0,0,0.0,0.0,0.0
8336,2022,Cam Collier,3B,sa3020131,1,Part-Time,45,50.0,55.0,60.0,40.0,60.0,,,,,30.0,35.0,0.0,15.0,-1.0,,70.0,2,,,,,,,,,,,,0.0,0,0,0,1,16.0,0,0.0,0.0,0.0
8183,2022,Carson Williams,SS,30038,1,Part-Time,45,50.0,50.0,50.0,55.0,55.0,,,,,20.0,20.0,5.0,0.0,1.0,1.0,70.0,3,47.0,39.0,0.0,2.0,0.5847446808510638,0.8182340425531914,0.282051282051282,0.1538461538461538,0.4615384615384615,0.2765957446808511,0.1276595744680851,0.0,0,0,0,1,18.0,0,0.0,0.0,0.0
8694,2022,Cristhian Vaquero,CF,sa3018403,1,Part-Time,45,50.0,60.0,60.0,55.0,50.0,,,,,30.0,35.0,-5.0,20.0,2.0,2.0,60.0,3,,,,,,,,,,,,0.0,0,0,0,1,16.0,0,0.0,0.0,0.0
8875,2022,Daniel Susac,C,sa3019997,1,Part-Time,45,40.0,55.0,70.0,30.0,45.0,,,,,10.0,20.0,-5.0,15.0,,-1.0,45.0,3,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
8828,2022,Deyvison De Los Santos,DH,sa3015168,1,Part-Time,45,40.0,60.0,70.0,30.0,40.0,,,,,20.0,35.0,-10.0,20.0,-1.0,,55.0,2,255.0,227.0,8.0,3.0,0.3653215686274509,0.4105803921568627,0.2951541850220264,0.1938325991189427,0.3880597014925373,0.2627450980392157,0.1019607843137254,4.363636363636363,0,0,0,2,18.0,0,0.0,0.0,0.0
8332,2022,Drew Gilbert,CF,31545,1,Part-Time,45,60.0,40.0,45.0,60.0,60.0,,,,,25.0,10.0,0.0,15.0,1.0,1.0,55.0,1,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
8338,2022,Dylan Beavers,CF,31695,1,Part-Time,45,40.0,60.0,70.0,55.0,50.0,,,,,10.0,30.0,0.0,20.0,1.0,,60.0,3,,,,,,,,,,,,0.0,0,0,0,1,19.0,0,0.0,0.0,0.0
8212,2022,Harry Ford,C,29958,1,Part-Time,45,50.0,55.0,60.0,60.0,50.0,,,,,25.0,30.0,0.0,20.0,,1.0,50.0,1,65.0,55.0,3.0,3.0,0.383476923076923,0.3989230769230769,0.2909090909090909,0.2909090909090909,0.6428571428571429,0.2153846153846154,0.1384615384615384,3.0,0,0,0,1,18.0,0,0.0,0.0,0.0
8258,2022,Jeferson Quero,C,sa3015407,1,Part-Time,45,50.0,55.0,60.0,20.0,60.0,,,,,25.0,35.0,-10.0,20.0,2.0,1.0,60.0,3,83.0,68.0,2.0,4.0,0.4515542168674698,0.5743734939759036,0.3088235294117647,0.1911764705882352,1.2,0.1204819277108433,0.144578313253012,2.6666666666666665,0,0,0,1,18.0,0,0.0,0.0,0.0
8238,2022,Jett Williams,CF,sa3020134,1,Part-Time,45,60.0,45.0,45.0,70.0,55.0,,,,,35.0,25.0,0.0,15.0,,2.0,45.0,1,,,,,,,,,,,,0.0,0,0,0,1,17.0,0,0.0,0.0,0.0
8864,2022,Jorbit Vivas,2B,23917,1,Part-Time,45,60.0,40.0,40.0,45.0,50.0,,,,,25.0,10.0,0.0,10.0,-1.0,1.0,40.0,1,477.0,413.0,14.0,8.0,0.369062893081761,0.4426331236897274,0.3123486682808716,0.1840193704600484,0.7272727272727273,0.1153039832285115,0.0838574423480083,10.181818181818182,0,0,1,3,20.0,0,0.0,0.0,0.0
8401,2022,Josh Kasevich,SS,sa3020203,1,Part-Time,45,70.0,35.0,40.0,40.0,55.0,,,,,35.0,5.0,0.0,20.0,-2.0,-1.0,45.0,2,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
8810,2022,Jud Fabian,CF,sa3019942,1,Part-Time,45,35.0,55.0,60.0,60.0,60.0,,,,,5.0,25.0,0.0,15.0,,1.0,60.0,2,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
8287,2022,Justin Crawford,CF,sa3020240,1,Part-Time,45,55.0,45.0,55.0,70.0,55.0,,,,,30.0,25.0,0.0,15.0,2.0,2.0,45.0,3,,,,,,,,,,,,0.0,0,0,0,1,17.0,0,0.0,0.0,0.0
8642,2022,Justin Foscue,1B,27501,1,Part-Time,45,45.0,50.0,60.0,30.0,30.0,,,,,5.0,10.0,0.0,0.0,1.0,-1.0,30.0,1,267.0,229.0,17.0,2.0,0.3289737827715355,0.4605393258426966,0.2751091703056768,0.314410480349345,0.3472222222222222,0.2696629213483146,0.0936329588014981,3.5789473684210527,0,1,1,4,22.0,0,0.0,0.0,0.0
8467,2022,Mikey Romero,3B,sa3020216,1,Part-Time,45,60.0,45.0,50.0,45.0,40.0,,,,,35.0,25.0,-5.0,10.0,1.0,,50.0,2,,,,,,,,,,,,0.0,0,0,0,1,17.0,0,0.0,0.0,0.0
8825,2022,Noah Miller,SS,sa3017512,1,Part-Time,45,60.0,45.0,45.0,40.0,45.0,,,,,35.0,25.0,0.0,15.0,,1.0,50.0,2,96.0,84.0,2.0,1.0,0.3361458333333333,0.3676666666666666,0.238095238095238,0.1309523809523809,0.3461538461538461,0.2708333333333333,0.09375,1.3333333333333333,0,0,0,1,18.0,0,0.0,0.0,0.0
8853,2022,Petey Halpin,CF,27931,1,Part-Time,45,60.0,40.0,45.0,60.0,55.0,,,,,25.0,10.0,0.0,10.0,,1.0,60.0,2,246.0,221.0,1.0,11.0,0.2780162601626016,0.3593658536585365,0.2941176470588235,0.1312217194570135,0.42,0.2032520325203252,0.0853658536585365,1.8333333333333333,0,0,0,2,19.0,0,0.0,0.0,0.0
8925,2022,Robert Moore,SS,sa3019928,1,Part-Time,45,55.0,45.0,45.0,60.0,60.0,,,,,20.0,15.0,0.0,15.0,-1.0,1.0,45.0,1,,,,,,,,,,,,0.0,0,0,0,1,19.0,0,0.0,0.0,0.0
8894,2022,Roderick Arias,SS,sa3019674,1,Part-Time,45,60.0,50.0,50.0,50.0,60.0,,,,,35.0,30.0,-5.0,15.0,1.0,2.0,60.0,3,,,,,,,,,,,,0.0,0,0,0,1,16.0,0,0.0,0.0,0.0
8268,2022,Spencer Jones,CF,sa3019969,1,Part-Time,45,40.0,70.0,80.0,40.0,50.0,,,,,10.0,35.0,0.0,20.0,2.0,1.0,50.0,3,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
9015,2022,Tyler Black,1B,29949,1,Part-Time,45,60.0,45.0,50.0,45.0,45.0,,,,,25.0,5.0,0.0,0.0,,,45.0,1,115.0,87.0,1.0,5.0,0.4435043478260869,0.2805739130434782,0.2413793103448276,0.0804597701149425,0.8387096774193549,0.2695652173913043,0.2260869565217391,1.6666666666666667,0,0,0,2,20.0,0,0.0,0.0,0.0
8893,2022,Tyler Callihan,2B,27497,1,Part-Time,45,55.0,50.0,55.0,30.0,35.0,,,,,20.0,20.0,0.0,5.0,-1.0,-1.0,50.0,2,99.0,87.0,2.0,5.0,0.3817070707070707,0.383060606060606,0.2988505747126437,0.1379310344827586,0.6153846153846154,0.1313131313131313,0.0808080808080808,2.857142857142857,0,0,0,2,21.0,0,0.0,0.0,0.0
9433,2022,Yiddi Cappe,LF,sa3015515,1,Part-Time,45,50.0,50.0,60.0,55.0,50.0,,,,,25.0,30.0,0.0,10.0,2.0,1.0,60.0,3,216.0,189.0,2.0,9.0,0.3219305555555555,0.4516388888888888,0.2698412698412698,0.1322751322751322,0.5428571428571428,0.162037037037037,0.0879629629629629,3.272727272727273,0,0,0,1,18.0,0,0.0,0.0,0.0
8634,2022,Abdias De La Cruz,RF,sa3019401,0,Bench/Reserve,40,45.0,50.0,55.0,60.0,50.0,,,,,25.0,30.0,0.0,10.0,,,45.0,3,,,,,,,,,,,,0.0,0,0,0,1,16.0,0,0.0,0.0,0.0
