feature,importance
plus_pitch_count,0.0886885581422941
bb_per_9,0.08122394119306303
velocity_sits_low,0.0808154548252952
whip,0.07792903395014901
velocity_avg,0.07428363824240287
ch_future,0.07119045114482515
cb_future,0.06810530572585276
velocity_sits_high,0.061051414403430565
era,0.06023480386185221
cmd_upside,0.04482531200281918
velocity_tops,0.03750387591881383
cmd_future,0.03504076554128226
total_ip,0.029352042908477295
fb_future,0.02843609455858374
frame_grade,0.022880771086424154
total_bb,0.02184514278912239
fb_change,0.018161501049939775
sl_future,0.0175291647766842
avg_age,0.015090395089188977
total_hr_allowed,0.011564747875455382
fv_change_1yr,0.00981092732432255
highest_level,0.009053362227804802
fb_upside,0.007909961541105745
delivery_grade,0.0063285874933871975
played_aa,0.006241024063456675
velo_change,0.005080804602377607
cmd_change,0.004438123444898091
played_a_plus,0.0024982700871098067
athleticism_grade,0.002170018305220134
has_tj_surgery,0.0007165058243612817
arm_grade,0.0
played_aaa,0.0
total_k,0.0
k_per_9,0.0
k_bb_ratio,0.0
