prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,fb_future,sl_future,cb_future,ch_future,cmd_future,fb_upside,cmd_upside,velocity_sits_low,velocity_sits_high,velocity_tops,velocity_avg,plus_pitch_count,frame_grade,athleticism_grade,arm_grade,delivery_grade,has_tj_surgery,total_ip,era,whip,k_per_9,bb_per_9,k_bb_ratio,total_k,total_bb,total_hr_allowed,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,fb_change,cmd_change,velo_change
9104,2022,Ryan Cusick,DH,sa3017385,1,Part-Time,45,70.0,60.0,,,35.0,0.0,5.0,94.0,97.0,100.0,95.5000000000000000,2,-1.0,,,-1.0,0,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
8630,2022,Ty Madden,SP,30140,1,Part-Time,45,50.0,60.0,45.0,50.0,55.0,5.0,20.0,91.0,95.0,98.0,93.0000000000000000,1,1.0,,,-1.0,0,,,,,,,,,,0,0,0,1,21,0,0.0,0.0,0.0
8736,2022,Wikelman González,RP,26641,1,Part-Time,45,60.0,55.0,,60.0,50.0,5.0,25.0,94.0,96.0,98.0,95.0000000000000000,3,1.0,1.0,,1.0,0,51.5,2.970873786407767,1.1262135922330097,,2.796116504854369,,,16.0,2.0,0,0,0,2,19,0,0.0,0.0,0.0
8486,2022,Adam Macko,RP,sa3011555,0,Bench,40,55.0,55.0,60.0,,45.0,10.0,15.0,90.0,94.0,98.0,92.0000000000000000,3,-1.0,,,,0,32.400000000000006,4.722222222222221,1.5432098765432096,,5.833333333333332,,,21.0,1.0,0,0,0,2,20,0,0.0,0.0,0.0
9399,2022,Alejandro Hidalgo,RP,sa3015151,0,Bench,40,50.0,,60.0,50.0,45.0,10.0,25.0,92.0,94.0,97.0,93.0000000000000000,1,,-1.0,,-1.0,0,26.3,4.7908745247148286,1.3307984790874525,,3.079847908745247,,,9.0,6.0,0,0,0,1,18,0,0.0,0.0,0.0
8664,2022,Andrew Hoffmann,DH,29633,0,Bench,40,50.0,60.0,,50.0,50.0,5.0,20.0,92.0,94.0,95.0,93.0000000000000000,1,2.0,,,,0,29.2,2.7739726027397262,0.9931506849315068,,2.4657534246575343,,,8.0,2.0,0,0,0,2,21,0,0.0,0.0,0.0
8761,2022,Andry Lara,SP,27967,0,Bench,40,55.0,55.0,,50.0,55.0,10.0,30.0,93.0,95.0,97.0,94.0000000000000000,2,-1.0,,,,0,47.4,4.746835443037975,1.3080168776371308,,3.9873417721518987,,,21.0,7.0,0,0,0,2,18,0,0.0,0.0,0.0
8969,2022,Anthony Solometo,SP,sa3018259,0,Bench,40,50.0,60.0,,,60.0,10.0,35.0,87.0,90.0,94.0,88.5000000000000000,1,1.0,1.0,,1.0,0,,,,,,,,,,0,0,0,1,18,0,0.0,0.0,0.0
8823,2022,Austin Love,DH,sa3017609,0,Bench,40,50.0,55.0,,50.0,55.0,0.0,10.0,92.0,95.0,98.0,93.5000000000000000,1,1.0,-1.0,,-1.0,0,8.0,1.125,0.5,,1.125,,,1.0,1.0,0,0,0,2,22,0,0.0,0.0,0.0
9301,2022,Austin Vernon,DH,sa3017138,0,Bench,40,60.0,55.0,50.0,60.0,40.0,0.0,10.0,94.0,96.0,97.0,95.0000000000000000,3,1.0,,,1.0,0,10.399999999999999,0.8653846153846155,0.7692307692307694,,3.461538461538462,,,4.0,0.0,0,0,0,1,22,0,0.0,0.0,0.0
